category,name_en,description_en,name_vi,price_vnd,vegetarian,notes
APPETIZERS,CAESAR SALAD WITH SMOKED CHICKEN,"Poached egg, crispy bacon, romaine lettuce, croutons",Salad Caesar với gà xông khói,340000,,
APPETIZERS,BEEF AND BANANA BLOSSOM SALAD,"Sliced beef with banana blossom, Vietnamese herbs and seafood dressing",Gói bò với hoa chuối,260000,,
APPETIZERS,DON CIPRIANI'S CAPRESE,Buffalo Mozzarella with confit of tomatoes basil and extra virgin olive oil,Phô mai Mozzarella ăn kèm với cà chua lá húng quế tươi và dầu olive nguyên chất hào hạng,440000,V,
APPETIZERS,PARMIGIANA DI MELANZANE,"Layered eggplant with tomato sauce, Parmesan cheese, Mozzarella and basil",Mỳ dẹt và cà tím xếp lớp với xốt cà chua nguyên chất phô mai Parmesan phô mai Mozzarella và lá húng quế tươi,250000,V,
SOUP & MAIN COURSES,SWEET AND SOUR FISH BROTH,"Cobia fish, tamarind, pineapple, tomato, okra, bean sprout and chili",Canh chua cá bớp,250000,,
SOUP & MAIN COURSES,PASTA E FAGIOLI,"Beans soup and manicotti pasta with rosemary oil",Súp đậu kiểu Venice và mỳ ống Manicotti với một chút dầu hương thảo thơm,290000,,
SOUP & MAIN COURSES,SIMMERED YOUNG PORK RIBS,"With fish sauce, shallot, garlic and black pepper",Sườn non rim ăn kèm cơm trắng,290000,,
SOUP & MAIN COURSES,PAN FRIED SCOTTISH SALMON,"With gratinated broccoli and potato crisps",Cá hồi áp chảo kiểu Xcot-len,660000,,
SOUP & MAIN COURSES,WOK FRIED CHICKEN WITH CASHEW NUTS,"Onion, baby corn, capsicum in oyster and roasted chilli paste with steamed rice",Thịt gà xào hạt điều,330000,,
SOUP & MAIN COURSES,200G US STRIPLOIN,"Served with red wine sauce and stuffed tomato",Thân bò Mỹ nướng (200g),690000,,
PASTA SANDWICH NOODLES AND RICE,SPAGHETTI ALLA BOLOGNESE,Spaghetti with a classic Bolognese ragout,Mỳ Ý với sốt bò bằm cổ điển,360000,,
PASTA SANDWICH NOODLES AND RICE,FURAMA CLUB SANDWICH,"Smoked chicken, crispy bacon, fried egg, tomato, cucumber and romaine lettuce",Bánh mỳ kẹp kiểu Furama,430000,,
PASTA SANDWICH NOODLES AND RICE,SPAGHETTI ALLA CARBONARA,"Spaghetti with egg, black pepper, Pecorino cheese and Guanciale",Mỳ Ý với trứng tiêu đen phô mai Percorino và thịt má heo Guanciable,370000,,
PASTA SANDWICH NOODLES AND RICE,FURAMA BEEF NOODLE SOUP,"Noodle soup with sliced beef, served with garlic flavored vinegar and homemade chili sauce",Phở bò kiểu Furama,230000,,
PASTA SANDWICH NOODLES AND RICE,LINGUINE ALLE VONGOLE,"Linguine with clams, garlic, chili and extra virgin olive oil",Mỳ Ý xào ngao tươi và dầu olive nguyên chất có vị tỏi và ớt,430000,,
PASTA SANDWICH NOODLES AND RICE,"MI QUANG"" NOODLE SOUP","Turmeric rice noodles with chicken, green chili, lime, garden herbs and sesame crackers",Mì Quảng gà,230000,,
PASTA SANDWICH NOODLES AND RICE,FRIED RICE WITH SEAFOOD,"With fish, squid, prawns, diced carrots, green peas, onion, corn and egg",Cơm chiên hải sản,380000,,
PIZZA,PIZZA MARGHERITA FURAMA,"Tomato sauce, Mozzarella cheese and basil",Xốt cà chua phô mai Mozzarella và húng quế,300000,V,
PIZZA,PIZZA PROSCIUTTO E FUNGHI,"Tomato sauce, Mozzarella cheese, cooked Parma ham and mushrooms",Xốt cà chua phô mai Mozzarella giăm bông Parma và nấm,420000,,
PIZZA,PIZZA QUATTRO FORMAGGI,"Mozzarella, Gorgonzola, Taleggio and Parmesan cheese",Phô mai Mozzarella phô mai Gorgonzola phô mai Taleggio và phô mai Parmesan,370000,V,
PIZZA,HAWAIIAN PIZZA,"Tomato sauce, Mozzarella cheese, pineapple and ham",Xốt cà chua phô mai Mozzarella dứa và giăm bông,330000,,
PIZZA,PIZZA CAPRICCIOSA,"Tomato sauce, Mozzarella cheese, artichoke, Parma ham, and black olives",Xốt cà chua phô mai Mozzarella bông a ti sô giăm bông Parma và ô liu đen,370000,,
PIZZA,MEAT LOVER PIZZA,"Tomato sauce, Mozzarella cheese, spicy salami, sausages, bacon and chili pepper",Xốt cà chua phô mai Mozzarella xúc xích các loại thịt xông khói và ớt đó,370000,,
DESSERTS,TIRAMISU,"Lady finger biscuits, coffee, Mascarpone and cocoa",Bánh que nhúng cà phê phú kem Mascarpone đánh bông và bột cacao,270000,V,
DESSERTS,PIZZA ALLA NUTELLA,Pizza with Nutella hazelnut chocolate paste,Pizza nhân sô cô la Nutella vị hạt phỉ,220000,V,
DESSERTS,PANNA COTTA ALLE ARANCE,Panna cotta with caramelized orange,Panna cotta với cam caramel,270000,,
BEVERAGE - WINE,VALDIVIESO SAUVIGNON BLANC,"Fresh and crispy Sauvignon with clear notes of gooseberries and passion fruit. Lively wine with a pure finish",Valdivieso Sauvignon Blanc Central Valley Chile,958000,,"By bottle - By glass: 228000"
BEVERAGE - WINE,VIGNETI ROMIO ROMAGNA TREBBIANO,"Elegantly fruity with floral notes, honeysuckle and lemon zest combining with a grassy hint on the nose. Good minerality and phenolics.",Vigneti Romio Romagna Trebbiano Italy,958000,,"By bottle - By glass: 228000"
BEVERAGE - WINE,VALDIVIESO CABERNET SAUVIGNON,"Medium to full bodied wine with rich berry fruit aromas, black current, vanilla and a touch of cocoa. Smooth finish.",Valdivieso Cabernet Sauvignon Central Valley Chile,958000,,"By bottle - By glass: 228000"
BEVERAGE - WINE,VIGNETI ROMIO ROMAGNA SANGIOVESE SUPERIORE RISERVA,"Deep crimson red. Ripe black cherries on the nose with a delicious hint of spice. With red berry flavours on the palate and fine tannins, this wine is well balanced with a long finish.",Vigneti Romio Romagna Sangiovese Superiore Riserva Italy,958000,,"By bottle - By glass: 228000"
BEVERAGE - SPARKLING WINE,VEUVE AMBAL SPARKLING BRUT,"A delicate sparkling wine; fresh and fruity flavours combined with an elegant mouth feel and a clean, crispy finish.",Veuve Ambal Sparkling Brut Bourgogne France,1078000,,"By bottle - By glass: 248000"
BEVERAGE - CHAMPAGNE,TAITTINGER BRUT RESERVE,"A beautiful combination of freshness, elegance and richness. Fruity and lively with notes of peach, white flowers, vanilla and honey.",Taittinger Brut Reserve Champagne,3998000,,
BEVERAGE - CHAMPAGNE,MOET ET CHANDON BRUT IMPERIAL,"One of the most famous Champagnes in the world. A Champagne with a refined mousse and great depth",Moet et Chandon Brut Imperial Champagne,3998000,,
BEVERAGE - JUICE,WATERMELON JUICE,,Nước dưa hấu,98000,,
BEVERAGE - JUICE,ORANGE JUICE,,Nước cam,98000,,
BEVERAGE - JUICE,MANGO JUICE,,Nước xoài,98000,,
BEVERAGE - JUICE,PINEAPPLE JUICE,,Nước dứa,98000,,
BEVERAGE - SOFT DRINKS,COCA COLA,,Coca Cola,78000,,
BEVERAGE - SOFT DRINKS,COCA COLA LIGHT,,Coca Cola Light,78000,,
BEVERAGE - SOFT DRINKS,TONIC SCHWEPPES,,Tonic Schweppes,78000,,
BEVERAGE - SOFT DRINKS,SODA SCHWEPPES,,Soda Schweppes,78000,,
BEVERAGE - SOFT DRINKS,SPRITE,,Sprite,78000,,
BEVERAGE - SOFT DRINKS,FANTA,,Fanta,78000,,
BEVERAGE - SOFT DRINKS,ACQUA PANNA,,Acqua Panna,138000,,
BEVERAGE - SOFT DRINKS,SAN PELLEGRINO,,San Pellegrino,138000,,
BEVERAGE - COFFEE,VIETNAMESE BLACK COFFEE,,Cà phê đen Việt Nam,98000,,
BEVERAGE - COFFEE,VIETNAMESE MILK COFFEE,,Cà phê sữa Việt Nam,98000,,
BEVERAGE - COFFEE,DECAFFEINATED COFFEE,,Cà phê không cafein,98000,,
BEVERAGE - COFFEE,AMERICANO,,Americano,98000,,
BEVERAGE - COFFEE,ESPRESSO,,Espresso,98000,,
BEVERAGE - COFFEE,CAPPUCCINO,,Cappuccino,98000,,
BEVERAGE - COFFEE,LATTE,,Latte,98000,,
BEVERAGE - BEER,LARUE/TIGER,,Larue/ Tiger,98000,,
BEVERAGE - BEER,HEINEKEN,,Heineken,108000,,
BEVERAGE - BEER,CORONA,,Corona,198000,,
BBQ PACKAGE,DIAMOND PACKAGE,"Luxury BBQ dinner menu, a bottle of Champagne for two and 2-hour free flow of beer and soft drinks","Gói Diamond - Bao gồm thức ăn 01 chai rượu Champagne cho 2 người và thỏa thích uống các loại bia và nước ngọt không giới hạn trong 2 giờ đồng hồ",5040000,,"For 2 guests - For 4 guests: 10080000"
BBQ PACKAGE,RUBY PACKAGE,"BBQ dinner menu and 2-hour free flow of beer and soft drinks","Gói Ruby - Bao gồm thức ăn và thỏa thích uống các loại bia và nước ngọt không giới hạn trong 2 giờ đồng hồ",3360000,,"For 2 guests - For 4 guests: 6720000"

